Date,Open,High,Low,Close,Adj Close,Volume
2021-08-11,79600.000000,79800.000000,78500.000000,78500.000000,78500.000000,30241137
2021-08-12,77100.000000,78200.000000,76900.000000,77000.000000,77000.000000,42365223
2021-08-13,75800.000000,76000.000000,74100.000000,74400.000000,74400.000000,61270643
2021-08-17,74000.000000,75100.000000,74000.000000,74200.000000,74200.000000,30944847
2021-08-18,73900.000000,74600.000000,73100.000000,73900.000000,73900.000000,29192631
2021-08-19,73500.000000,74400.000000,73100.000000,73100.000000,73100.000000,22166298
2021-08-20,73500.000000,73900.000000,72500.000000,72700.000000,72700.000000,22364803
2021-08-23,73300.000000,74000.000000,73000.000000,73300.000000,73300.000000,19384648
2021-08-24,73900.000000,75700.000000,73900.000000,75600.000000,75600.000000,21016913
2021-08-25,76200.000000,76600.000000,74900.000000,75700.000000,75700.000000,22319664
2021-08-26,76100.000000,76200.000000,74600.000000,74600.000000,74600.000000,16671494
2021-08-27,74300.000000,75000.000000,73800.000000,74300.000000,74300.000000,15172748
2021-08-30,75400.000000,75500.000000,74200.000000,74600.000000,74600.000000,12686999
2021-08-31,74900.000000,76700.000000,74300.000000,76700.000000,76700.000000,24630370
2021-09-01,76700.000000,77100.000000,75900.000000,76800.000000,76800.000000,16114775
2021-09-02,76800.000000,76800.000000,75700.000000,76000.000000,76000.000000,15347486
2021-09-03,76400.000000,76700.000000,76000.000000,76600.000000,76600.000000,12096419
2021-09-06,76800.000000,77600.000000,76600.000000,77300.000000,77300.000000,12861180
2021-09-07,77100.000000,77100.000000,75900.000000,76100.000000,76100.000000,13061711
